no,IC50 (uM)
0,6.33
1,71.82
2,88.67
3,12.31
4,3.53
5,12.49
6,18.15
7,18.46
8,11.93
9,9.23
10,92.68
11,84.2
12,90.69
13,17.3
14,1.61
15,8.55
16,7.49
17,10.12
18,91.84
19,17.4
20,86.84
21,19.08
22,80.72
23,14.53
24,74.45
25,9.7
26,16.69
27,14.25
28,18.71
29,7.97
30,9.53
31,89.34
32,4.63
33,15.26
34,83.21
35,81.43
36,9.5
37,14.45
38,86.4
39,12.68
40,15.78
41,19.23
42,17.1
43,70.33
44,12.15
45,5.89
46,96.32
47,75.49
48,19.82
49,11.97
50,90.8
51,10.13
52,19.29
53,97.08
54,90.05
55,87.67
56,16.93
57,84.43
58,81.56
59,77.29
60,7.76
61,99.51
62,70.7
63,77.08
64,71.55
65,95.27
66,82.29
67,86.72
68,18.78
69,13.96
70,16.37
71,72.47
72,79.43
73,84.64
74,76.75
75,77.17
76,85.12
77,83.44
78,82.48
79,72.79
80,76.89
81,76.86
82,83.85
83,86.72
84,17.83
85,91.59
86,5.24
87,76.91
88,4.06
89,3.77
90,79.1
91,19.14
92,93.16
93,4.67
94,70.71
95,11.21
96,19.66
97,9.25
98,77
99,88.58
100,86.35
101,79.54
102,99.77
103,72.59
104,16.7
105,73.58
106,95.98
107,14.92
108,6.38
109,96.11
110,94.42
111,76.45
112,84.48
113,14.64
114,96.62
115,86.03
116,92.39
117,18.38
118,7.44
119,75.69
120,76.24
121,9.6
122,16.27
123,6.89
124,6.04
125,15.98
126,88.97
127,77.96
128,91.92
129,99.28
130,96.5
131,18.5
132,15.87
133,84.4
134,3.41
135,7.99
136,90.17
137,9.49
138,72.82
139,75.85
140,7.66
141,12.53
142,15.59
143,12.22
144,81.86
145,5.11
146,92.1
147,7.22
148,95.91
149,16.72
150,93.23
151,11
152,73.17
153,9.2
154,13.86
155,70.56
156,15.57
157,19.41
158,8.42
159,99.3
160,10.81
161,19.98
162,97.85
163,18.06
164,97.69
165,70.75
166,74.49
167,18.99
168,16.4
169,19.81
170,16.16
171,12.9
172,79.27
173,6.25
174,99.55
175,74.34
176,7.41
177,97.81
178,13.62
179,4.58
180,71.2
181,15.75
182,7.65
183,73.93
184,76.14
185,5.47
186,92.46
187,16.03
188,17.56
189,84.74
190,5.04
191,9.15
192,5.91
193,11.82
194,94.14
195,90.21
196,7.02
197,8.26
198,6.33
199,94.26
200,88.63
201,95.44
202,74.41
203,4.59
204,16.89
205,86.22
206,70.64
207,10.42
208,78.95
209,80.14
210,73.95
211,10.93
212,15.25
213,91.24
214,7.17
215,73.71
216,18.53
217,7.15
218,78.1
219,12.23
220,80.67
221,17.94
222,12.35
223,9.77
224,88.32
225,79.17
226,11.1
227,86.41
228,19.86
229,5.64
230,9.85
231,17.36
232,75.13
233,87.61
234,93.27
235,88.59
236,10.19
237,12.08
238,96.25
239,75.37
240,4.6
241,16.03
242,18.65
243,89.04
244,83.23
245,12.82
246,76.25
247,11.09
248,7.79
249,73.84
250,5.23
251,83.79
252,17.45
253,10.72
254,6.37
255,17.73
256,77.73
257,19.59
258,5.19
259,19.44
260,18.64
261,80.38
262,11.58
263,18.66
264,5.4
265,12.19
266,18.81
267,5.09
268,71.17
269,90.06
270,11.56
271,14.51
